# 中文 TTS 难例集（zh_hardcase）· 测试定义，随仓库版本化
#
# 格式：uid <TAB> TTS输入文本 <TAB> CER参考文本（留空 = 与输入相同）
#   - 输入文本：喂给 TTS 合成
#   - 参考文本：与 ASR 转写比对算 CER。数字类必须给口语形式，
#     因为 TTS 读「二零二六年」而 ASR 转写也是汉字，用书面形式「2026年」比对会全错
#
# 四类难例（`prepare_tts.py` 物化到 data_root/tts/zh_hardcase/）：
#   tw   绕口令   —— 连续相似音位，测发音区分度
#   long 长句     —— >40 字，测韵律稳定性与截断（配合 del_rate/len_ratio 看）
#   num  数字读法 —— 测前端文本规范化（⚠️ 高方差，见文末说明）
#   hom  同音重复 —— 同音字密集/叠字，测鲁棒性
#
# ---------------- 绕口令（40）----------------
hard_tw_001	四是四，十是十，十四是十四，四十是四十
hard_long_038	孩子们在操场上追逐嬉闹的声音穿过教学楼的走廊传到办公室里，让正在批改作业的老师也不由自主地放缓了手上的动作。
hard_long_039	这份调研涵盖了全国二十多个省份的上百家企业，收集到的样本在行业分布和规模层次上都具有较好的代表性。
hard_long_040	他终于明白，有些问题并不是靠更聪明的办法就能解决的，而是需要足够的耐心和时间，等条件慢慢成熟起来。
# ---------------- 数字读法（35）⚠️ 高方差诊断项 ----------------
hard_num_001	2026年8月31日召开季度总结会议	二零二六年八月三十一日召开季度总结会议
hard_num_002	圆周率约等于3.14159	圆周率约等于三点一四一五九
hard_num_003	今天最低气温零下12.5摄氏度	今天最低气温零下十二点五摄氏度
hard_num_004	该股票今日上涨3.8%	该股票今日上涨百分之三点八
hard_num_005	会议室在3号楼502房间	会议室在三号楼五零二房间
hard_num_006	这批货物总价1200元	这批货物总价一千二百元
hard_num_007	他在1998年考入这所大学	他在一九九八年考入这所大学
hard_num_008	订单编号是A7B3X9	订单编号是A七B三X九
hard_num_009	全程用时2小时45分钟	全程用时两小时四十五分钟
hard_num_010	该地区人口约有350万	该地区人口约有三百五十万
hard_num_011	水的沸点是100摄氏度	水的沸点是一百摄氏度
hard_num_012	请拨打客服热线12345	请拨打客服热线一二三四五
hard_num_013	文件大小为256KB	文件大小为二百五十六KB
hard_num_014	比赛结果是3比2	比赛结果是三比二
hard_num_015	他排在第17位	他排在第十七位
hard_num_016	折扣后只需99.9元	折扣后只需九十九点九元
hard_num_017	航班定于早上6点20分起飞	航班定于早上六点二十分起飞
hard_num_018	这条隧道全长4870米	这条隧道全长四千八百七十米
hard_num_019	当前电量剩余85%	当前电量剩余百分之八十五
hard_num_020	第二季度营收增长了11.2个百分点	第二季度营收增长了十一点二个百分点
hard_num_021	房间号是1024	房间号是一零二四
hard_num_022	这本书共有438页	这本书共有四百三十八页
hard_num_023	预计投资规模达到7.5亿元	预计投资规模达到七点五亿元
hard_num_024	模型参数量约为13亿	模型参数量约为十三亿
hard_num_025	实验重复了30次取平均值	实验重复了三十次取平均值
hard_num_026	该型号支持48kHz采样率	该型号支持四十八kHz采样率
hard_num_027	他的体重是68.4公斤	他的体重是六十八点四公斤
hard_num_028	距离目标还差0.3个单位	距离目标还差零点三个单位
hard_num_029	截止日期是明年3月15日	截止日期是明年三月十五日
hard_num_030	一共报名了1573人	一共报名了一千五百七十三人
hard_num_031	误差控制在正负5%以内	误差控制在正负百分之五以内
hard_num_032	这台设备功耗仅为7瓦	这台设备功耗仅为七瓦
hard_num_033	他连续工作了72小时	他连续工作了七十二小时
hard_num_034	平均分是86.5分	平均分是八十六点五分
hard_num_035	该项目于2019年正式启动	该项目于二零一九年正式启动
# ---------------- 同音字与叠字（35）----------------
hard_hom_001	他在会上说的那句话我实在没有听清楚
hard_hom_002	这件事的是非曲直大家心里都有数
hard_hom_003	实事求是地讲这个方案确实还需要打磨
hard_hom_004	他一时失手把事情办成了这样
hard_hom_005	石室诗士施氏嗜食狮
hard_hom_006	期中考试和期终考试的安排完全不同
hard_hom_007	权力和权利虽然读音接近含义却相去甚远
hard_hom_008	他制订了计划又制定了细则
hard_hom_009	必须弄清是必需品还是可选项
hard_hom_010	这批货已经启程运往目的地了
hard_hom_011	他反复强调要注意区分反映和反应
hard_hom_012	定金和订金在法律上的效力并不一样
hard_hom_013	他把帐篷搭在河边的账目却一直没有理清
hard_hom_014	那个人的形迹十分可疑行迹也难以查证
hard_hom_015	他既是编者又是作者还是校对者
hard_hom_016	原来他原本就在这里工作
hard_hom_017	这道题的答案不止一个而且都不容易想到
hard_hom_018	他终于意识到自己一直以来的坚持是值得的
hard_hom_019	明明明明知道却偏偏装作不知道
hard_hom_020	天天天气都这么热实在让人受不了
hard_hom_021	看看看看这孩子都长这么高了
hard_hom_022	他说说说不出个所以然来
hard_hom_023	好好好我们就按你说的办
hard_hom_024	来来来大家都坐下慢慢谈
hard_hom_025	这事儿真真真是让人为难
hard_hom_026	长长的队伍从街头一直排到街尾
hard_hom_027	那件事情曾曾祖父在世时就已经解决了
hard_hom_028	他的的确确没有参与这次讨论
hard_hom_029	一个个都不肯先开口说话
hard_hom_030	层层叠叠的山峦一眼望不到边
hard_hom_031	密密麻麻的字迹写满了整整三页纸
hard_hom_032	他慢慢慢慢地把整段话读了一遍
hard_hom_033	干干净净的桌面上摆着一支笔
hard_hom_034	清清楚楚地记着当年那些点点滴滴
hard_hom_035	远远近近的灯火在夜色里明明灭灭
#
# ⚠️ 数字类（num）说明：阿拉伯数字存在多种合法读法（1200 可读「一千二百」或「一二零零」，
# 年份可读「二零二六」或「两千零二十六」），参考文本只取最常见一种。因此 num 类的 CER
# 混入了「读法不同但不算错」的成分，属**高方差诊断项**：建议单独看该类，不与其他类混算，
# 用于发现前端规范化明显失效的模型（如把数字整段跳读/念成英文），而非精确排名依据。
